Name,Dialogue,NextRow,Datatable,EndDialogue?,CharacterName,EN,JP
ch7_letter_1,Post-traumatic stress.. medikasi.. ketergantungan emosional,ch7_letter_2,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_letter_2,"Lucu ya, betapa mudahnya hidupku dirangkum dalam beberapa paragraf",ch7_letter_3,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_letter_3,...,ch7_letter_4,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_letter_4,Mereka bilang aku menarik diri,ch7_letter_5,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_letter_5,Menghindar,ch7_letter_6,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_letter_6,Sulit bicara soal kehilangan,ch7_letter_7,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_letter_7,.,ch7_letter_8,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_letter_8,..,ch7_letter_9,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_letter_9,Mereka tidak salah,ch7_letter_10,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_letter_10,Tapi membaca ini... rasanya seperti membaca tentang orang lain,ch7_letter_11,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_letter_11,"Dan tetap saja, tidak ada satu kata pun yang asing bagiku",None,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',True,,,
ch7_window_1,Dulu aku menghabiskan waktu di sana..,ch7_window_2,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_window_2,"bermain, tertawa, menang",ch7_window_3,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_window_3,Lapangan itu seperti rumah kedua,ch7_window_4,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_window_4,Segala ambisi dan harapan pernah kutitipkan di garis tiga poinnya,ch7_window_5,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_window_5,"Kini, hanya dengan melihatnya saja... ",ch7_window_6,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_window_6,dadaku terasa sesak,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',True,,,
ch7_mikey_0,Jadi... kamu itu aku,ch7_mikey_1,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_mikey_1,Aku bagian dari kamu...,ch7_mikey_2,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,,
ch7_mikey_2,"yang lama kamu diamkan, tapi selalu ada",ch7_mikey_3,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,,
ch7_mikey_3,Aku benci kamu,ch7_mikey_4,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_mikey_4,Karena kamu punya semua yang pernah jadi milikku,ch7_mikey_5,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_mikey_5,"Keluarga, tawa, rumah yang utuh...",ch7_mikey_6,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_mikey_6,Sementara aku cuma disisakan reruntuhannya,ch7_mikey_7,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_mikey_7,Padahal aku cuma menunggu kamu untuk sadar,ch7_mikey_8,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,,
ch7_mikey_8,kalau kita harus hadapi ini bersama,ch7_mikey_9,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,,
ch7_mikey_9,Aku kehilangan semuanya,ch7_mikey_10,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_mikey_10,"Kamu tidak benar-benar sendirian, Ryan",ch7_mikey_11,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,,
ch7_mikey_11,Aku selalu di sini,ch7_mikey_12,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,,
ch7_mikey_12,Menunggu kamu datang...,ch7_mikey_13,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,,
ch7_mikey_13,dan berani melepaskan,ch7_mikey_14,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,,
ch7_mikey_14,Aku lelah hidup di ruangan ini,ch7_mikey_15,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_mikey_15,Sudah waktunya keluar,ch7_mikey_16,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,,
ch7_mikey_16,Tenang saja...,ch7_mikey_17,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,,
ch7_mikey_17,aku yang akan jaga di sini,ch7_mikey_18,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,,
ch7_mikey_18,.,ch7_mikey_19,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_mikey_19,..,ch7_mikey_20,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_mikey_20,...,ch7_mikey_21,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_mikey_21,Kunci rapat ya,ch7_mikey_22,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,,
ch7_mikey_22,Tapi jangan buang kuncinya.,ch7_mikey_23,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,,
ch7_mikey_23,"Kadang... kamu bisa mampir, hanya untuk mengingat,",ch7_mikey_24,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,,
ch7_mikey_24,bukan untuk tinggal,ch7_mikey_21,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',True,Michael,,
ch7_father_0,Ayah...,ch7_father_1,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_father_1,Kalau ayah masih di sini...,ch7_father_2,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_father_2,Apa Ayah akan bangga melihat aku sekarang?,ch7_father_3,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_father_3,"Aku selalu bangga padamu, Nak",ch7_father_4,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Father,,
ch7_father_4,Aku sudah tidak bermain basket lagi,ch7_father_5,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_father_5,Aku tidak menang apa-apa,ch7_father_6,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_father_6,Andai saja waktu itu Ayah dan Ibu tidak datang ke pertandinganku...,ch7_father_7,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_father_7,Mungkin Ayah dan Ibu masih di sini,ch7_father_8,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_father_8,"Itu bukan salahmu, Nak",ch7_father_9,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Father,,
ch7_father_9,Kami datang karena kami ingin datang. Karena kami bangga,ch7_father_10,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Father,,
ch7_father_10,"Dan kalau harus memilih lagi, kami akan tetap datang",ch7_father_11,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Father,,
ch7_father_11,Kenapa harus Ayah dan Ibu? kenapa bukan aku?,ch7_father_12,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_father_12,Karena kamu masih punya cerita untuk ditulis,ch7_father_13,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Father,,
ch7_father_13,Tapi aku lelah,ch7_father_14,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_father_14,Lelah itu wajar,ch7_father_15,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Father,,
ch7_father_15,Tapi jangan biarkan itu menghapus siapa kamu,ch7_father_16,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Father,,
ch7_father_16,Kamu lebih kuat dari yang kamu kira,ch7_father_17,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Father,,
ch7_father_17,Dan dalam semua langkahmu...,ch7_father_18,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Father,,
ch7_father_18,kami tidak pernah benar-benar pergi,ch7_father_16,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',True,Father,,
ch7_mother_0,Ibu...,ch7_mother_1,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_mother_1,Aku... aku rindu ibu...,ch7_mother_2,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_mother_2,"Setiap hari, setiap malam... rasanya sesak, Bu",ch7_mother_3,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_mother_3,Rumah kosong. Aku kosong.,ch7_mother_4,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_mother_4,Kenapa harus pergi secepat itu,ch7_mother_5,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_mother_5,...,ch7_mother_6,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_mother_6,Ibu...,ch7_mother_7,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_mother_7,"Ibu tidak pernah benar-benar pergi, Ryan",ch7_mother_8,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,,
ch7_mother_8,"Ibu selalu ada... di hatimu, ",ch7_mother_9,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,,
ch7_mother_9,di setiap langkahmu,ch7_mother_10,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,,
ch7_mother_10,Tapi itu tidak cukup!,ch7_mother_11,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_mother_11,Kenapa tidak bisa nyata saja?,ch7_mother_12,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_mother_12,Kenapa bukan Ibu yang duduk bersamaku? ,ch7_mother_13,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_mother_13,Menenangkan aku saat semuanya terasa berat?,ch7_mother_14,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_mother_14,"Ibu ingin, Nak... Ibu ingin lebih dari apapun",ch7_mother_15,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,,
ch7_mother_15,Tapi takdir berkata lain,ch7_mother_16,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,,
ch7_mother_16,"Boleh aku ikut, Bu?",ch7_mother_17,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_mother_17,"Belum waktunya, Sayang",ch7_mother_18,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,,
ch7_mother_18,"Aku sudah tidak kuat, Bu. Aku lelah...",ch7_mother_19,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_mother_19,Dunia ini masih memanggilmu,ch7_mother_20,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,,
ch7_mother_20,Masih ada yang harus kau hadapi. Masih ada cahaya di ujung gelapmu,ch7_mother_21,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,,
ch7_mother_21,Pokoknya aku mau ikut!,ch7_mother_22,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_mother_22,Menangislah jika harus menangis,ch7_mother_23,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,,
ch7_mother_23,Tapi jangan menyerah,ch7_mother_24,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,,
ch7_mother_24,Karena setiap luka yang kau bawa...,ch7_mother_25,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,,
ch7_mother_25,adalah bukti kau pernah mencintai dengan sungguh-sungguh,ch7_mother_26,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,,
ch7_mother_26,"Tolong jangan tinggalkan aku, Bu",ch7_mother_27,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,,
ch7_mother_27,"Ibu tidak pernah meninggalkanmu, Nak",ch7_mother_28,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,,
ch7_mother_28,Temukan kekuatanmu,ch7_mother_29,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,,
ch7_mother_29,Karena suatu saat... kita akan bertemu lagi,ch7_mother_30,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Mother,,
ch7_mother_30,"dalam damai, bukan dalam duka",ch7_mother_27,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',True,Mother,,
